"","USPS","GEOID","ALAND","AWATER","ALAND_SQMI","AWATER_SQMI","INTPTLAT","INTPTLONG"
"3647","CA","6047001005",2831600,0,1.093,0,37.3162986,-120.5116506
"3648","CA","6047001101",2436391,0,0.941,0,37.3252966,-120.4601195
"3649","CA","6047001200",4246276,0,1.639,0,37.3136674,-120.4472741
"3650","CA","6047001301",2572612,0,0.993,0,37.3071954,-120.4917744
"3651","CA","6047001302",1624827,0,0.627,0,37.3040362,-120.4781907
"3652","CA","6047001401",1766897,0,0.682,0,37.2986938,-120.4642099
"3653","CA","6047001402",4931862,0,1.904,0,37.3030351,-120.4432482
"3654","CA","6047001501",6572982,0,2.538,0,37.2921709,-120.5148928
"3655","CA","6047001502",834701,0,0.322,0,37.2987619,-120.4963377
"3656","CA","6047001503",1246391,0,0.481,0,37.2927274,-120.4990996
"3657","CA","6047001601",2115097,0,0.817,0,37.2916308,-120.4768027
"3658","CA","6047001602",8507434,0,3.285,0,37.2803327,-120.4761763
"3659","CA","6047001700",3874855,0,1.496,0,37.2876583,-120.445312
"3660","CA","6047001801",18028646,18842,6.961,0.007,37.3433213,-120.4370181
"3661","CA","6047001901",263303399,2049455,101.662,0.791,37.355853,-120.3392864
"3662","CA","6047001902",291420867,0,112.518,0,37.2234664,-120.2254977
"3663","CA","6047002000",584110889,22314730,225.526,8.616,37.2000819,-120.9591276
"3664","CA","6047002100",1422390812,74674719,549.188,28.832,36.9542373,-120.9793353
"3665","CA","6047002201",5336455,0,2.06,0,37.0634742,-120.8585279
"3666","CA","6047002202",12600613,0,4.865,0,37.0847255,-120.8552697
"3667","CA","6047002301",8081532,0,3.12,0,37.049609,-120.8635647
"3668","CA","6047002302",34611402,1298156,13.364,0.501,37.0786355,-120.8012173
"3669","CA","6047002401",231166553,694675,89.254,0.268,37.0439737,-120.6551864
"3670","CA","6047002402",28084169,0,10.843,0,36.9746245,-120.6220705
"3671","CA","6047002500",516711311,2516832,199.503,0.972,37.499088,-120.4694335
"3672","CA","6047002600",46246558,0,17.856,0,37.2896248,-120.4047836
"3673","CA","6049000100",27730645,408720,10.707,0.158,41.5074206,-120.5539218
"3674","CA","6049000200",2409364171,66821705,930.261,25.8,41.5108055,-121.2486404
"3675","CA","6049000300",6124362200,467098821,2364.63,180.348,41.6379522,-120.6933431
"3676","CA","6049000400",1579503148,211091423,609.85,81.503,41.5772357,-120.0924522
"3677","CA","6051000101",4143688177,34523923,1599.887,13.33,37.680912,-118.5531055
"3678","CA","6051000102",3582885583,178513739,1383.36,68.925,38.2173488,-119.1242089
"3679","CA","6051000200",170264733,1658011,65.74,0.64,37.6393045,-118.9842313
"3680","CA","6053000101",10399764,22318,4.015,0.009,36.7396659,-121.6220496
"3681","CA","6053000102",2073856,0,0.801,0,36.7107945,-121.6348578
"3682","CA","6053000103",1025692,0,0.396,0,36.7132772,-121.6495279
"3683","CA","6053000104",2044946,4276,0.79,0.002,36.7123618,-121.6212411
"3684","CA","6053000200",1642483,0,0.634,0,36.7023913,-121.643584
"3685","CA","6053000300",1227249,0,0.474,0,36.7030908,-121.6595817
"3686","CA","6053000400",2523220,0,0.974,0,36.6928867,-121.6498809
"3687","CA","6053000501",511582,0,0.198,0,36.6758875,-121.632795
"3688","CA","6053000502",2776306,45591,1.072,0.018,36.6843587,-121.6342814
"3689","CA","6053000600",1078841,0,0.417,0,36.6799302,-121.6171939
"3690","CA","6053000701",627341,0,0.242,0,36.6878097,-121.609157
"3691","CA","6053000702",485565,0,0.187,0,36.6846397,-121.6108778
"3692","CA","6053000800",1024459,0,0.396,0,36.6748899,-121.6146898
"3693","CA","6053000900",1651926,0,0.638,0,36.6690787,-121.6261158
"3694","CA","6053001200",1231337,0,0.475,0,36.6646451,-121.6493229
"3695","CA","6053001300",927145,0,0.358,0,36.6748937,-121.6550382
"3696","CA","6053001400",1239641,0,0.479,0,36.6706218,-121.6639509
"3697","CA","6053001500",4682408,0,1.808,0,36.6584132,-121.6725273
"3698","CA","6053001600",864841,0,0.334,0,36.6701186,-121.6776094
"3699","CA","6053001700",849058,0,0.328,0,36.6783432,-121.6686664
"3700","CA","6053001801",2803615,0,1.082,0,36.6893565,-121.6700057
"3701","CA","6053001802",1495955,0,0.578,0,36.6856848,-121.6550166
"3702","CA","6053010101",26125633,1307182,10.087,0.505,36.8703225,-121.7707761
"3703","CA","6053010102",31002617,65950,11.97,0.025,36.8844138,-121.6811023
"3704","CA","6053010202",40331726,280377,15.572,0.108,36.8477738,-121.6841172
"3705","CA","6053010305",15690177,17079,6.058,0.007,36.8191591,-121.6752959
"3706","CA","6053010306",60797640,1785229,23.474,0.689,36.7510823,-121.7175785
"3707","CA","6053010400",2646284,0,1.022,0,36.764838,-121.7533738
"3708","CA","6053010501",67125416,175754,25.917,0.068,36.7877533,-121.6196088
"3709","CA","6053010504",29998969,510793,11.583,0.197,36.7321372,-121.6905423
"3710","CA","6053010505",865508,0,0.334,0,36.7291549,-121.6494212
"3711","CA","6053010506",877487,0,0.339,0,36.7243373,-121.6543476
"3712","CA","6053010603",1988622,0,0.768,0,36.7062811,-121.613363
"3713","CA","6053010604",1200118,0,0.463,0,36.6969398,-121.604063
"3714","CA","6053010605",1082888,0,0.418,0,36.6886905,-121.5991739
"3715","CA","6053010606",286117434,849953,110.471,0.328,36.6852793,-121.5676557
"3716","CA","6053010607",443777,0,0.171,0,36.6930236,-121.6144997
"3717","CA","6053010608",2170625,47120,0.838,0.018,36.6951795,-121.6223478
"3718","CA","6053010701",50383672,384071,19.453,0.148,36.5796828,-121.6553273
"3719","CA","6053010702",142083136,2123146,54.859,0.82,36.5436798,-121.6316313
"3720","CA","6053010804",119545943,7446438,46.157,2.875,36.4987089,-121.484516
"3721","CA","6053010900",3645700,15260,1.408,0.006,36.4717572,-121.374591
"3722","CA","6053011000",489637268,1554833,189.05,0.6,36.3913637,-121.6806215
