"","SerialNumber","TransportationMode","ArrivalTime","Age","ClassOfWorker","Occupation","Sex","MaritalStatus","HealthInsurance","EducationLevel","TotalIncome","IncomeAdjuster","PUMA","HomeOffice"
"3315",193959,NA,NA,66,NA,NA,2,1,1,21,12000,1007588,11104,0
"3316",193960,NA,NA,37,NA,NA,2,1,1,21,0,1007588,11104,0
"3317",194018,NA,NA,67,NA,NA,2,3,1,22,64600,1007588,8303,0
"3318",194128,"Driving",158,58,6,8350,2,5,2,9,17000,1007588,11103,0
"3319",194512,"Driving",199,33,4,2340,2,3,1,19,3600,1007588,11106,0
"3320",194513,NA,NA,22,1,1107,1,5,1,19,24000,1007588,11106,0
"3321",194514,NA,NA,20,9,9920,1,5,1,19,0,1007588,11106,0
"3322",194515,NA,NA,22,NA,NA,1,5,1,20,0,1007588,11106,0
"3323",194631,NA,NA,61,4,5700,2,1,1,20,34000,1007588,11106,0
"3324",194632,"Driving",109,57,1,1530,1,1,1,21,130000,1007588,11106,0
"3325",194667,NA,NA,78,1,1006,1,3,1,21,70040,1007588,8303,0
"3326",194668,NA,NA,79,NA,NA,2,3,1,21,8400,1007588,8303,0
"3327",194753,"Driving",94,49,1,5700,2,1,1,19,17000,1007588,11106,0
"3328",194754,"Driving",94,64,6,6420,1,1,1,16,349000,1007588,11106,0
"3329",195071,NA,NA,72,NA,NA,2,3,1,22,49200,1007588,11104,0
"3330",195144,"Driving",85,56,1,20,2,1,1,19,85020,1007588,8303,0
"3331",195145,"Driving",109,57,6,6230,1,1,1,18,20010,1007588,8303,0
"3332",195156,NA,NA,71,NA,NA,1,5,1,21,25000,1007588,8303,0
"3333",195272,"Driving",84,59,1,110,1,1,1,19,80600,1007588,8303,0
"3334",195273,NA,NA,54,6,2600,2,1,1,21,5500,1007588,8303,0
"3335",195424,"Driving",95,36,6,2100,1,5,1,23,40000,1007588,11103,0
"3336",195466,"Driving",39,42,1,4030,1,1,1,13,30000,1007588,11106,0
"3337",195467,"Driving",69,35,1,6050,2,1,1,16,14000,1007588,11106,0
"3338",195468,NA,NA,12,NA,NA,2,5,1,9,NA,1007588,11106,0
"3339",195469,NA,NA,7,NA,NA,1,5,1,4,NA,1007588,11106,0
"3340",195503,NA,NA,87,NA,NA,1,1,1,11,25000,1007588,11103,0
"3341",195518,NA,NA,35,1,9620,1,5,1,15,12000,1007588,11104,0
"3342",195519,"Driving",95,28,6,4650,1,5,1,16,36600,1007588,11104,0
"3343",195520,NA,NA,25,NA,NA,1,5,1,16,0,1007588,11104,0
"3344",195568,NA,NA,94,NA,NA,2,2,1,12,32600,1007588,11103,0
"3345",195586,"Driving",82,63,1,1320,1,1,1,24,132000,1007588,11106,0
"3346",195587,"Driving",80,56,4,2310,2,1,1,22,88000,1007588,11106,0
"3347",195588,NA,NA,21,1,6260,1,5,1,16,4000,1007588,11106,0
"3348",195589,"Driving",204,19,1,4700,1,1,1,16,40000,1007588,11106,0
"3349",195590,NA,NA,1,NA,NA,2,5,1,NA,NA,1007588,11106,0
"3350",195591,"Driving",204,22,2,2340,2,1,1,16,6200,1007588,11106,0
"3351",195631,"Driving",81,42,1,740,2,4,2,16,39700,1007588,11103,0
"3352",195632,NA,NA,9,NA,NA,1,5,1,7,NA,1007588,11103,0
"3353",195633,NA,NA,6,NA,NA,2,5,1,4,NA,1007588,11103,0
"3354",195646,NA,NA,89,NA,NA,2,2,1,19,31110,1007588,11104,0
"3355",195839,"Driving",100,51,1,430,2,3,1,19,90000,1007588,11106,0
"3356",195840,NA,NA,10,NA,NA,2,5,1,8,NA,1007588,11106,0
"3357",196014,NA,NA,75,NA,NA,1,4,1,19,76000,1007588,11104,0
"3358",196615,"Driving",100,56,6,710,2,1,1,19,63000,1007588,8303,0
"3359",196636,"Walking",96,20,4,2200,1,5,1,19,30000,1007588,8303,0
"3360",196642,NA,NA,56,NA,NA,2,1,1,16,0,1007588,11106,0
"3361",196643,"Driving",97,58,3,5000,1,1,1,22,161000,1007588,11106,0
"3362",196644,"Driving",93,29,1,4030,2,5,1,21,35000,1007588,11106,0
"3363",196645,"Public Transit",149,28,3,5000,2,5,1,22,50000,1007588,11106,0
"3364",196722,"Driving",119,31,1,1700,1,5,1,24,180100,1007588,8303,0
"3365",196723,"Driving",91,61,6,6330,1,1,1,20,35000,1007588,11106,0
"3366",196724,"Driving",88,50,1,350,2,1,1,22,94800,1007588,11106,0
"3367",196725,"Driving",89,59,1,230,2,3,1,16,42000,1007588,11106,0
"3368",196732,"Driving",83,53,1,20,1,5,1,19,70000,1007588,11104,0
"3369",196752,NA,NA,19,1,2000,2,5,1,16,700,1007588,8303,0
"3370",196753,"Biking",272,22,4,2000,2,5,1,16,960,1007588,8303,0
"3371",196754,"Biking",272,20,4,3850,2,5,1,20,2000,1007588,8303,0
"3372",196755,NA,NA,20,4,4030,1,5,1,19,4000,1007588,8303,0
"3373",196756,NA,NA,20,NA,NA,1,5,1,19,0,1007588,8303,0
"3374",196757,"Driving",109,20,4,3850,2,5,1,19,2000,1007588,8303,0
"3375",197005,NA,NA,67,NA,NA,2,3,1,20,13000,1007588,8303,0
"3376",197006,NA,NA,73,NA,NA,2,2,1,15,10900,1007588,8303,0
"3377",197025,"Driving",109,62,1,4720,1,1,2,21,80000,1007588,8303,0
"3378",197026,"Driving",59,61,1,4720,2,1,1,19,80000,1007588,8303,0
"3379",197227,"Driving",79,59,1,150,1,4,1,22,130000,1007588,11104,0
"3380",197228,"Driving",121,25,3,4130,1,5,1,19,15000,1007588,11104,0
"3381",197229,"Driving",217,21,1,5240,1,5,1,19,8000,1007588,11104,0
"3382",197501,"Driving",47,65,6,5120,1,1,1,19,105000,1007588,11104,0
"3383",197502,NA,NA,66,NA,NA,2,1,1,9,8500,1007588,11104,0
"3384",197534,NA,NA,62,NA,NA,1,1,1,21,80000,1007588,11104,0
"3385",197535,NA,NA,59,NA,NA,2,1,1,20,1700,1007588,11104,0
"3386",197601,NA,NA,69,NA,NA,1,5,1,21,1000,1007588,11106,0
"3387",197602,"Public Transit",100,62,3,1840,2,5,1,19,144500,1007588,11106,0
"3388",197624,NA,NA,19,NA,NA,2,5,1,19,0,1007588,8303,0
"3389",197856,"Driving",122,71,6,1820,2,2,1,22,12500,1007588,11103,0
"3390",198065,"Driving",82,51,3,640,2,1,1,16,37500,1007588,11103,0
"3391",198066,"Driving",82,52,3,5510,1,1,1,16,12200,1007588,11103,0
"3392",198067,"Driving",82,23,1,4700,2,5,1,18,8000,1007588,11103,0
"3393",198231,"Driving",74,53,5,137,1,3,1,21,121950,1007588,11106,0
"3394",198232,NA,NA,4,NA,NA,2,5,1,2,NA,1007588,11106,0
"3395",198233,"Driving",110,45,1,2145,2,3,1,21,80000,1007588,11106,0
"3396",198291,"Driving",94,28,1,630,2,5,1,21,65000,1007588,8303,0
"3397",198292,"Driving",103,27,1,800,1,5,1,21,55000,1007588,8303,0
"3398",198321,NA,NA,67,NA,NA,2,1,1,18,35000,1007588,11104,0
"3399",198322,NA,NA,68,1,7000,1,1,1,14,31000,1007588,11104,0
"3400",198478,"Driving",165,59,1,6260,1,2,1,1,20000,1007588,11104,0
"3401",198539,"Driving",93,47,3,2330,2,5,1,21,75000,1007588,8303,0
"3402",198618,NA,NA,72,NA,NA,2,3,1,22,45000,1007588,8303,0
"3403",198619,NA,NA,73,NA,NA,1,3,1,24,39000,1007588,8303,0
"3404",198628,NA,NA,60,3,2310,2,1,1,22,78000,1007588,8303,0
"3405",198629,"Driving",79,58,3,4220,1,1,1,19,35200,1007588,8303,0
"3406",198646,"Driving",75,49,3,8620,1,1,1,21,89000,1007588,11106,0
"3407",198647,"Driving",108,48,3,230,2,1,1,15,4000,1007588,11106,0
"3408",198788,"Driving",106,40,1,4230,2,5,1,12,52000,1007588,8303,0
"3409",198789,"Walking",186,17,2,4600,1,5,1,14,600,1007588,8303,0
"3410",198790,NA,NA,15,NA,NA,1,5,1,12,1300,1007588,8303,0
"3411",198791,"Driving",93,46,1,4250,1,5,1,19,20800,1007588,8303,0
"3412",199298,"Driving",95,54,1,1420,1,1,1,21,137900,1007588,8303,0
"3413",199299,"Driving",90,55,3,2310,2,1,1,23,1980,1007588,8303,0
"3414",199300,NA,NA,17,1,3955,1,5,1,14,64,1007588,8303,0
"3415",199301,NA,NA,13,NA,NA,2,5,1,10,NA,1007588,8303,0
"3416",199558,NA,NA,73,NA,NA,2,5,1,21,22900,1007588,8303,0
"3417",199590,"Driving",106,36,1,630,2,5,1,19,74800,1007588,11103,0
"3418",199591,"Driving",216,18,1,4720,2,5,1,18,1500,1007588,11103,0
"3419",199592,NA,NA,16,NA,NA,2,5,1,12,0,1007588,11103,0
"3420",199593,NA,NA,11,NA,NA,1,5,1,7,NA,1007588,11103,0
"3421",199594,NA,NA,4,NA,NA,1,5,1,1,NA,1007588,11103,0
"3422",199740,NA,NA,30,1,5610,2,1,1,19,4400,1007588,11106,0
"3423",199741,"Driving",96,32,1,8650,1,1,1,15,50000,1007588,11106,0
"3424",199742,NA,NA,3,NA,NA,2,5,1,1,NA,1007588,11106,0
"3425",199743,NA,NA,0,NA,NA,1,5,1,NA,NA,1007588,11106,0
"3426",199771,NA,NA,79,NA,NA,2,2,1,16,63000,1007588,8303,0
"3427",199797,"Driving",77,34,8,4250,1,5,1,18,200,1007588,11104,0
"3428",199923,"Driving",101,35,1,1020,1,1,1,21,190000,1007588,8303,0
"3429",199924,NA,NA,33,6,4600,2,1,1,17,0,1007588,8303,0
"3430",199925,NA,NA,6,NA,NA,1,5,1,3,NA,1007588,8303,0
"3431",199926,NA,NA,3,NA,NA,1,5,1,1,NA,1007588,8303,0
"3432",200296,"Driving",86,33,1,4250,1,1,2,15,22000,1007588,11106,0
"3433",200297,"Driving",88,29,1,7750,2,1,2,16,1700,1007588,11106,0
"3434",200298,NA,NA,9,NA,NA,2,5,1,6,NA,1007588,11106,0
"3435",200299,NA,NA,8,NA,NA,2,5,1,5,NA,1007588,11106,0
"3436",200300,NA,NA,4,NA,NA,2,5,1,1,NA,1007588,11106,0
"3437",200301,"Driving",74,32,1,9640,1,5,2,9,20000,1007588,11106,0
"3438",200302,"Driving",74,30,1,9640,1,5,2,9,32000,1007588,11106,0
"3439",200310,NA,NA,73,NA,NA,1,1,1,24,48200,1007588,8303,0
"3440",200311,NA,NA,66,NA,NA,2,1,1,22,13700,1007588,8303,0
"3441",200312,NA,NA,70,NA,NA,2,1,1,17,16900,1007588,11104,0
"3442",200417,"Driving",79,24,5,6230,1,1,1,18,26001,1007588,11106,0
"3443",200418,NA,NA,24,1,5400,2,1,1,19,0,1007588,11106,0
"3444",200419,NA,NA,1,NA,NA,2,5,1,NA,NA,1007588,11106,0
"3445",200461,"Driving",85,40,6,2100,1,1,1,23,174000,1007588,11106,0
"3446",200462,NA,NA,37,6,5700,2,1,1,21,10000,1007588,11106,0
"3447",200463,NA,NA,11,NA,NA,2,5,1,9,NA,1007588,11106,0
"3448",200464,NA,NA,7,NA,NA,2,5,1,5,NA,1007588,11106,0
"3449",200465,NA,NA,4,NA,NA,1,5,1,2,NA,1007588,11106,0
"3450",200635,"Driving",112,60,2,2050,2,1,1,20,1600,1007588,11103,0
"3451",200636,"Driving",121,61,2,2040,1,1,1,19,45900,1007588,11103,0
"3452",200637,"Driving",211,30,1,3930,1,1,1,19,36000,1007588,11103,0
"3453",200638,NA,NA,4,NA,NA,1,5,1,1,NA,1007588,11103,0
"3454",200639,NA,NA,30,1,4850,2,1,1,21,38000,1007588,11103,0
"3455",200834,"Driving",219,27,6,2700,1,5,1,20,7200,1007588,8303,0
"3456",200835,NA,NA,4,NA,NA,1,5,1,2,NA,1007588,8303,0
"3457",200836,"Driving",117,24,1,4760,2,5,1,19,9000,1007588,8303,0
"3458",200933,NA,NA,71,2,2000,2,2,1,22,116400,1007588,11106,0
"3459",200951,NA,NA,38,NA,NA,1,1,1,22,0,1007588,11106,0
"3460",200952,"Driving",104,37,1,565,2,1,1,22,130000,1007588,11106,0
"3461",200953,NA,NA,10,NA,NA,2,5,1,7,NA,1007588,11106,0
"3462",200954,NA,NA,7,NA,NA,2,5,1,5,NA,1007588,11106,0
"3463",200955,NA,NA,4,NA,NA,2,5,1,2,NA,1007588,11106,0
"3464",201272,"Driving",100,44,1,9130,1,1,1,19,26100,1007588,11103,0
"3465",201273,"Driving",100,39,1,2010,2,1,1,21,46000,1007588,11103,0
"3466",201274,NA,NA,18,9,9920,1,5,1,19,0,1007588,11103,0
"3467",201275,NA,NA,8,NA,NA,1,5,1,4,NA,1007588,11103,0
"3468",201276,NA,NA,2,NA,NA,1,5,1,NA,NA,1007588,11103,0
"3469",201426,NA,NA,20,4,4230,2,5,1,19,14000,1007588,8303,0
"3470",201532,"Driving",93,41,5,2310,2,1,1,22,60100,1007588,11103,0
"3471",201533,"Driving",64,37,5,4220,1,1,1,20,24000,1007588,11103,0
"3472",201534,NA,NA,4,NA,NA,2,5,1,2,NA,1007588,11103,0
"3473",201535,NA,NA,1,NA,NA,1,5,1,NA,NA,1007588,11103,0
"3474",201552,NA,NA,28,1,5940,2,5,1,20,70400,1007588,11106,0
"3475",201553,"Driving",151,63,1,4760,2,3,1,21,29100,1007588,11106,0
"3476",201554,"Walking",67,25,1,5240,1,5,1,18,22200,1007588,11106,0
"3477",201555,NA,NA,26,1,430,1,5,1,21,86000,1007588,11106,0
"3478",201659,"Driving",69,59,1,20,2,2,1,19,59200,1007588,11103,0
"3479",201660,"Driving",121,44,1,5000,2,5,1,18,14500,1007588,11103,0
"3480",201661,NA,NA,87,NA,NA,2,2,1,4,10700,1007588,11103,0
"3481",201695,NA,NA,94,NA,NA,2,2,1,16,19200,1007588,11106,0
"3482",201785,"Driving",152,64,6,4600,2,3,1,20,24000,1007588,11104,0
"3483",202064,"Driving",116,64,2,2000,2,1,1,22,22000,1007588,8303,0
"3484",202065,NA,NA,66,7,710,1,1,1,21,83100,1007588,8303,0
"3485",202217,"Driving",91,68,3,5860,2,3,1,18,83330,1007588,11103,0
"3486",202250,"Biking",98,18,4,630,2,5,1,18,7350,1007588,8303,0
"3487",202306,"Driving",58,41,1,7340,1,1,1,18,71000,1007588,11104,0
"3488",202307,"Driving",176,35,2,4760,2,1,1,19,16600,1007588,11104,0
"3489",202308,NA,NA,15,NA,NA,2,5,1,12,0,1007588,11104,0
"3490",202724,"Driving",102,47,5,1550,1,1,1,19,80000,1007588,11103,0
"3491",202725,"Driving",202,41,1,350,2,1,1,19,31500,1007588,11103,0
"3492",202726,"Driving",81,23,6,4600,2,5,1,19,6000,1007588,11103,0
"3493",202734,NA,NA,45,NA,NA,2,1,1,7,0,1007588,11103,0
"3494",202735,"Driving",79,47,1,6050,1,1,1,9,10300,1007588,11103,0
"3495",202736,NA,NA,19,NA,NA,2,5,1,18,0,1007588,11103,0
"3496",202737,NA,NA,18,NA,NA,1,5,1,14,0,1007588,11103,0
"3497",202738,NA,NA,12,NA,NA,1,5,1,9,NA,1007588,11103,0
"3498",202880,"Home Office",NA,19,6,5350,1,5,1,20,10000,1007588,8303,1
"3499",202881,"Driving",79,21,1,4030,2,5,1,20,30000,1007588,8303,0
"3500",202882,"Driving",167,21,1,4430,1,5,1,20,12000,1007588,8303,0
"3501",202883,NA,NA,20,1,5700,1,5,1,19,15000,1007588,8303,0
"3502",202884,"Driving",167,19,1,4430,1,5,1,19,1100,1007588,8303,0
"3503",202885,NA,NA,19,1,4720,1,5,1,19,1700,1007588,8303,0
"3504",203093,"Driving",81,28,1,2310,2,1,1,21,20000,1007588,11104,0
"3505",203094,"Driving",72,33,6,4220,1,1,1,16,50000,1007588,11104,0
"3506",203310,"Driving",83,42,1,1220,2,1,1,18,65000,1007588,11106,0
"3507",203311,"Driving",73,39,1,4760,1,1,1,19,70000,1007588,11106,0
"3508",203312,"Driving",85,17,1,2720,1,5,1,14,600,1007588,11106,0
"3509",203313,NA,NA,10,NA,NA,2,5,1,7,NA,1007588,11106,0
"3510",203322,NA,NA,78,NA,NA,2,1,1,16,15300,1007588,11104,0
"3511",203464,"Driving",100,32,1,4760,1,1,1,21,250000,1007588,8303,0
"3512",203465,"Driving",124,32,6,725,2,1,1,20,1900,1007588,8303,0
"3513",203606,NA,NA,39,3,2310,1,1,1,21,12300,1007588,11106,0
"3514",203607,"Driving",106,38,2,3255,2,1,1,21,100000,1007588,11106,0
"3515",203608,NA,NA,14,NA,NA,2,5,1,11,NA,1007588,11106,0
"3516",203609,NA,NA,10,NA,NA,1,5,1,8,NA,1007588,11106,0
"3517",203610,NA,NA,9,NA,NA,2,5,1,5,NA,1007588,11106,0
"3518",203611,NA,NA,4,NA,NA,1,5,1,1,NA,1007588,11106,0
"3519",203612,NA,NA,0,NA,NA,1,5,1,NA,NA,1007588,11106,0
"3520",203634,NA,NA,88,NA,NA,2,2,1,14,10900,1007588,11104,0
"3521",203688,NA,NA,39,1,310,2,1,1,19,400,1007588,8303,0
"3522",203689,"Driving",107,37,1,110,1,1,1,21,558000,1007588,8303,0
"3523",203690,NA,NA,7,NA,NA,1,5,1,4,NA,1007588,8303,0
"3524",203691,NA,NA,0,NA,NA,1,5,1,NA,NA,1007588,8303,0
"3525",203692,NA,NA,7,NA,NA,1,5,1,4,NA,1007588,8303,0
"3526",203804,"Driving",88,43,2,2000,2,1,1,9,5500,1007588,11103,0
"3527",203805,"Driving",87,54,1,7630,1,1,2,9,50000,1007588,11103,0
"3528",203806,"Driving",195,21,2,4220,1,5,2,18,5000,1007588,11103,0
"3529",203807,NA,NA,17,NA,NA,1,5,1,14,0,1007588,11103,0
"3530",203808,NA,NA,11,NA,NA,1,5,1,9,NA,1007588,11103,0
"3531",203809,"Driving",69,50,1,6050,1,5,2,9,28000,1007588,11103,0
"3532",204228,"Walking",136,17,2,5540,2,5,1,18,13201,1007588,8303,0
"3533",204464,"Driving",60,42,4,3850,1,3,1,21,108000,1007588,8303,0
"3534",204465,NA,NA,9,NA,NA,2,5,1,6,NA,1007588,8303,0
"3535",204521,NA,NA,74,2,410,1,1,1,22,18770,1007588,11104,0
"3536",204522,NA,NA,74,NA,NA,2,1,1,24,8040,1007588,11104,0
"3537",204762,NA,NA,60,6,2340,1,1,1,21,2000,1007588,8303,0
"3538",204763,NA,NA,71,NA,NA,2,1,1,11,40000,1007588,8303,0
"3539",204861,"Walking",268,18,4,4020,2,5,1,18,33000,1007588,8303,0
"3540",204947,"Driving",122,73,1,4760,2,3,1,16,29100,1007588,8303,0
"3541",205111,"Driving",77,59,2,6355,1,1,1,20,60000,1007588,8303,0
"3542",205112,"Driving",68,49,1,8965,2,1,1,15,52000,1007588,8303,0
"3543",205113,"Driving",129,38,1,4710,2,5,1,18,40300,1007588,8303,0
"3544",205114,"Driving",79,29,1,8140,1,1,1,18,50000,1007588,8303,0
"3545",205115,"Driving",66,24,2,4210,1,5,1,1,30100,1007588,8303,0
"3546",205116,"Driving",66,24,1,2010,1,5,1,21,20000,1007588,8303,0
"3547",205117,NA,NA,23,NA,NA,2,5,1,18,0,1007588,8303,0
"3548",205118,NA,NA,16,9,9920,2,5,1,14,0,1007588,8303,0
"3549",205119,NA,NA,13,NA,NA,2,5,1,8,NA,1007588,8303,0
"3550",205120,NA,NA,13,NA,NA,2,5,1,9,NA,1007588,8303,0
"3551",205121,NA,NA,7,NA,NA,1,5,1,5,NA,1007588,8303,0
"3552",205122,NA,NA,0,NA,NA,1,5,1,NA,NA,1007588,8303,0
"3553",205123,NA,NA,40,NA,NA,1,1,1,1,308000,1007588,8303,0
"3554",205173,"Driving",96,89,1,2830,2,3,1,21,229700,1007588,8303,0
"3555",205221,"Driving",78,64,1,4760,2,1,1,20,14600,1007588,11103,0
"3556",205222,"Driving",65,70,6,4810,1,1,1,21,118800,1007588,11103,0
"3557",205310,"Driving",116,27,1,2000,2,1,1,22,70000,1007588,11103,0
"3558",205311,"Driving",105,27,1,410,1,1,1,20,40000,1007588,11103,0
"3559",205312,NA,NA,0,NA,NA,1,5,2,NA,NA,1007588,11103,0
"3560",205313,"Driving",103,59,1,4510,1,1,2,15,35000,1007588,11103,0
"3561",205314,NA,NA,53,NA,NA,2,1,1,1,0,1007588,11103,0
"3562",205315,NA,NA,62,4,2010,2,1,1,22,69000,1007588,11104,0
"3563",205316,"Driving",172,74,7,4700,1,1,1,21,55600,1007588,11104,0
"3564",205325,NA,NA,86,NA,NA,2,3,1,16,10400,1007588,11104,0
"3565",205605,NA,NA,68,1,430,1,1,1,22,256800,1007588,11106,0
"3566",205606,NA,NA,68,1,5700,2,1,1,18,10800,1007588,11106,0
"3567",205654,"Home Office",NA,63,1,4710,1,1,1,21,150000,1007588,11104,1
"3568",205655,"Walking",90,58,1,735,2,1,1,19,80000,1007588,11104,0
"3569",205986,"Driving",93,43,3,2860,2,1,1,19,47000,1007588,11103,0
"3570",205987,"Driving",92,38,1,4840,1,1,1,16,51000,1007588,11103,0
"3571",205988,NA,NA,14,NA,NA,2,5,1,10,NA,1007588,11103,0
"3572",205989,NA,NA,13,NA,NA,1,5,1,9,NA,1007588,11103,0
"3573",206026,NA,NA,85,NA,NA,1,1,1,24,48200,1007588,8303,0
"3574",206027,NA,NA,84,NA,NA,2,1,1,21,75000,1007588,8303,0
"3575",206044,"Home Office",NA,66,6,1030,1,1,1,22,16650,1007588,11106,1
"3576",206045,"Driving",74,34,1,1020,1,5,1,21,140000,1007588,11106,0
"3577",206318,"Driving",103,35,4,230,2,5,1,21,79000,1007588,8303,0
"3578",206506,NA,NA,19,5,6050,2,5,1,19,1000,1007588,8303,0
"3579",206507,"Public Transit",170,19,3,2540,2,5,1,16,400,1007588,8303,0
"3580",206574,"Home Office",NA,52,1,4760,1,1,1,21,514000,1007588,8303,1
"3581",206575,"Driving",110,47,1,1020,2,1,1,22,100000,1007588,8303,0
"3582",206576,NA,NA,12,NA,NA,1,5,1,9,NA,1007588,8303,0
"3583",206585,"Driving",88,65,1,4930,1,1,1,21,57480,1007588,11103,0
"3584",206586,NA,NA,66,NA,NA,2,1,1,21,3800,1007588,11103,0
"3585",206850,"Driving",99,45,1,4040,2,1,1,19,12000,1007588,11103,0
"3586",206851,"Driving",72,49,1,20,1,1,1,19,126000,1007588,11103,0
"3587",206852,NA,NA,9,NA,NA,1,5,2,7,NA,1007588,11103,0
"3588",207536,NA,NA,73,NA,NA,2,2,1,20,10800,1007588,11106,0
"3589",207542,"Driving",80,67,1,150,1,1,1,21,153000,1007588,11106,0
"3590",207543,NA,NA,73,6,4700,2,1,1,22,7000,1007588,11106,0
"3591",207805,"Biking",101,23,4,2200,1,5,1,22,60000,1007588,8303,0
"3592",207953,NA,NA,37,NA,NA,2,1,1,21,0,1007588,11106,0
"3593",207954,NA,NA,7,NA,NA,2,5,1,3,NA,1007588,11106,0
"3594",207955,NA,NA,5,NA,NA,2,5,1,1,NA,1007588,11106,0
"3595",208044,NA,NA,61,NA,NA,1,1,1,21,15000,1007588,11106,0
"3596",208045,NA,NA,56,3,2310,2,1,1,21,55000,1007588,11106,0
"3597",208581,"Driving",113,26,1,1020,1,1,1,21,125000,1007588,8303,0
"3598",208582,NA,NA,27,1,4760,2,1,1,19,5000,1007588,8303,0
"3599",208623,NA,NA,42,1,6050,2,1,2,9,6000,1007588,11103,0
"3600",208624,"Driving",76,36,1,6050,1,1,2,1,20000,1007588,11103,0
"3601",208625,"Driving",70,21,1,4220,1,5,2,16,10000,1007588,11103,0
"3602",208626,NA,NA,13,NA,NA,1,5,2,10,NA,1007588,11103,0
"3603",208733,NA,NA,90,1,5860,1,2,1,16,36100,1007588,11104,0
"3604",209687,NA,NA,72,NA,NA,2,1,1,21,41600,1007588,11104,0
"3605",209688,NA,NA,73,NA,NA,1,1,1,16,39800,1007588,11104,0
"3606",209720,NA,NA,61,NA,NA,2,3,1,19,6490,1007588,8303,0
"3607",209721,NA,NA,69,NA,NA,1,1,1,21,62900,1007588,11104,0
"3608",209722,NA,NA,65,NA,NA,2,1,1,16,4000,1007588,11104,0
"3609",209793,NA,NA,77,NA,NA,2,2,1,19,60900,1007588,11104,0
"3610",209819,"Driving",141,74,2,5400,2,5,1,22,17600,1007588,11104,0
"3611",210019,NA,NA,71,NA,NA,1,1,1,13,14690,1007588,11106,0
"3612",210020,NA,NA,63,7,310,2,1,1,16,7390,1007588,11106,0
"3613",210081,"Driving",62,48,1,6050,1,1,1,15,24000,1007588,11103,0
"3614",210082,"Driving",76,48,1,7750,2,1,1,14,20000,1007588,11103,0
"3615",210083,NA,NA,19,NA,NA,2,5,1,16,0,1007588,11103,0
"3616",210084,NA,NA,16,NA,NA,2,5,1,13,0,1007588,11103,0
"3617",210085,NA,NA,9,NA,NA,1,5,1,6,NA,1007588,11103,0
"3618",210086,NA,NA,4,NA,NA,1,5,1,1,NA,1007588,11103,0
"3619",211117,"Home Office",NA,65,1,630,2,1,1,24,183900,1007588,11104,1
"3620",211118,NA,NA,69,NA,NA,1,1,1,22,58900,1007588,11104,0
"3621",211119,NA,NA,94,NA,NA,1,2,1,22,136700,1007588,11104,0
"3622",211564,NA,NA,48,4,3255,1,5,1,20,62500,1007588,11103,0
"3623",211826,NA,NA,70,1,7000,1,1,1,20,45600,1007588,8303,0
"3624",211827,NA,NA,64,1,5700,2,1,1,19,25600,1007588,8303,0
"3625",212077,"Walking",157,25,4,2200,1,5,1,22,11500,1007588,8303,0
"3626",212367,"Driving",77,22,5,9820,2,5,1,16,24000,1007588,11106,0
"3627",212445,"Driving",208,19,4,2340,2,5,1,19,7200,1007588,8303,0
"3628",212446,NA,NA,20,9,9920,1,5,1,19,2100,1007588,8303,0
"3629",212447,NA,NA,18,1,4760,2,5,1,19,600,1007588,8303,0
"3630",212717,"Biking",192,20,1,2720,2,5,1,19,3000,1007588,8303,0
"3631",212718,NA,NA,21,1,4600,2,5,1,19,6000,1007588,8303,0
"3632",212719,"Biking",107,20,4,5120,2,5,1,19,5000,1007588,8303,0
"3633",212720,NA,NA,20,1,2720,2,5,1,19,5000,1007588,8303,0
"3634",212721,"Biking",83,20,4,4700,2,5,1,19,13200,1007588,8303,0
"3635",212796,"Driving",72,42,5,5310,1,1,1,23,83000,1007588,11106,0
"3636",212797,"Driving",97,40,6,3000,2,1,1,24,130000,1007588,11106,0
"3637",212798,NA,NA,11,NA,NA,1,5,1,7,NA,1007588,11106,0
"3638",212799,NA,NA,7,NA,NA,1,5,1,4,NA,1007588,11106,0
"3639",213064,NA,NA,78,NA,NA,1,1,1,24,61800,1007588,8303,0
"3640",213065,NA,NA,76,NA,NA,2,1,1,21,10000,1007588,8303,0
"3641",213136,NA,NA,61,NA,NA,1,1,1,21,37000,1007588,11106,0
"3642",213137,"Home Office",NA,64,6,2630,2,1,1,20,36000,1007588,11106,1
"3643",213153,"Driving",46,48,1,9600,1,1,2,16,96000,1007588,11103,0
"3644",213154,"Driving",88,44,1,6040,2,1,1,12,10400,1007588,11103,0
"3645",213155,"Driving",117,24,1,4720,1,5,2,19,19000,1007588,11103,0
"3646",213214,NA,NA,49,NA,NA,2,1,1,14,0,1007588,11103,0
"3647",213215,"Driving",48,49,6,9130,1,1,1,12,30000,1007588,11103,0
"3648",213277,"Driving",74,37,1,9130,1,1,1,19,65000,1007588,11104,0
"3649",213278,NA,NA,35,1,3600,2,1,1,19,0,1007588,11104,0
"3650",213279,NA,NA,5,NA,NA,2,5,1,2,NA,1007588,11104,0
"3651",213280,NA,NA,1,NA,NA,2,5,1,NA,NA,1007588,11104,0
"3652",213633,"Driving",106,32,1,5120,2,1,1,16,18000,1007588,11106,0
"3653",213634,"Driving",98,32,7,7315,1,1,1,17,40000,1007588,11106,0
"3654",213963,NA,NA,67,6,710,2,3,1,22,45000,1007588,8303,0
"3655",214068,NA,NA,17,NA,NA,2,5,1,18,0,1007588,8303,0
