"","SerialNumber","TransportationMode","ArrivalTime","Age","ClassOfWorker","Occupation","Sex","MaritalStatus","HealthInsurance","EducationLevel","TotalIncome","IncomeAdjuster","PUMA","HomeOffice"
"152",8643,NA,NA,0,NA,NA,2,5,1,NA,NA,1007588,11106,0
"153",8825,"Driving",85,56,4,2200,1,1,1,24,90000,1007588,8303,0
"154",8826,"Driving",121,49,4,800,2,1,1,21,40000,1007588,8303,0
"155",8827,NA,NA,12,NA,NA,2,5,1,9,NA,1007588,8303,0
"156",8828,NA,NA,12,NA,NA,2,5,1,9,NA,1007588,8303,0
"157",8855,NA,NA,29,3,4610,2,5,2,20,0,1007588,8303,0
"158",8999,NA,NA,36,1,6050,2,5,2,16,0,1007588,11103,0
"159",9000,NA,NA,10,NA,NA,2,5,1,6,NA,1007588,11103,0
"160",9001,NA,NA,7,NA,NA,2,5,1,4,NA,1007588,11103,0
"161",9002,NA,NA,4,NA,NA,1,5,1,1,NA,1007588,11103,0
"162",9003,"Driving",97,41,1,7200,1,5,2,9,18000,1007588,11103,0
"163",9110,NA,NA,50,1,6050,2,2,1,9,24000,1007588,11103,0
"164",9111,NA,NA,18,NA,NA,2,5,2,18,0,1007588,11103,0
"165",9112,NA,NA,13,NA,NA,1,5,2,10,NA,1007588,11103,0
"166",9223,"Driving",92,32,1,1107,2,5,2,22,40000,1007588,11104,0
"167",9240,"Driving",87,39,1,7720,1,1,2,16,51000,1007588,11103,0
"168",9241,"Driving",87,40,1,7720,2,1,2,16,22000,1007588,11103,0
"169",9242,NA,NA,13,NA,NA,1,5,1,8,NA,1007588,11103,0
"170",9243,NA,NA,15,NA,NA,2,5,1,13,0,1007588,11103,0
"171",9244,NA,NA,30,NA,NA,2,5,2,16,0,1007588,11103,0
"172",9245,NA,NA,55,NA,NA,2,2,2,9,0,1007588,11103,0
"173",9510,NA,NA,72,NA,NA,2,3,1,20,19100,1007588,8303,0
"174",9514,"Public Transit",205,65,3,5320,2,2,1,21,30800,1007588,8303,0
"175",9573,"Home Office",NA,37,6,430,2,1,1,19,16000,1007588,11104,1
"176",9574,"Driving",115,38,1,2600,1,1,1,19,160300,1007588,11104,0
"177",9575,NA,NA,9,NA,NA,1,5,1,7,NA,1007588,11104,0
"178",9576,NA,NA,7,NA,NA,1,5,1,5,NA,1007588,11104,0
"179",9577,NA,NA,5,NA,NA,1,5,1,3,NA,1007588,11104,0
"180",9830,"Driving",81,52,1,5240,2,1,1,17,42000,1007588,11106,0
"181",9831,"Driving",111,48,2,4820,1,1,1,22,504000,1007588,11106,0
"182",9832,"Home Office",NA,29,5,2540,2,3,1,16,48000,1007588,11106,1
"183",9833,"Driving",110,21,1,4350,2,5,1,16,18000,1007588,11106,0
"184",9912,"Driving",86,54,2,800,2,1,1,21,42630,1007588,11106,0
"185",9913,"Driving",48,51,6,3630,1,1,1,19,14000,1007588,11106,0
"186",9961,NA,NA,19,NA,NA,1,5,1,18,12000,1007588,8303,0
"187",10016,"Walking",94,43,6,2910,1,1,1,21,67850,1007588,8303,0
"188",10017,"Driving",116,30,1,2200,2,1,1,22,16000,1007588,8303,0
"189",10052,NA,NA,21,NA,NA,2,5,1,16,5100,1007588,11104,0
"190",10600,"Driving",108,38,1,4720,2,1,2,19,24000,1007588,8303,0
"191",10601,"Walking",85,40,1,4250,1,1,2,16,18000,1007588,8303,0
"192",11034,"Driving",132,64,6,2100,2,5,1,23,27000,1007588,11104,0
"193",11035,NA,NA,60,NA,NA,1,5,1,21,1000,1007588,11104,0
"194",11231,NA,NA,74,NA,NA,2,1,1,16,243800,1007588,8303,0
"195",11232,NA,NA,84,NA,NA,1,1,1,15,0,1007588,8303,0
"196",11234,"Biking",105,37,1,4760,2,3,1,19,7000,1007588,8303,0
"197",11235,NA,NA,65,1,7855,1,4,1,24,8000,1007588,8303,0
"198",11341,"Public Transit",76,53,1,6050,1,1,1,1,22800,1007588,11104,0
"199",11534,"Driving",91,39,1,5000,2,4,1,18,33600,1007588,8303,0
"200",11535,NA,NA,19,9,9920,1,5,1,16,0,1007588,8303,0
"201",11536,NA,NA,14,NA,NA,2,5,1,11,NA,1007588,8303,0
"202",11537,"Driving",90,48,1,220,1,3,1,19,58000,1007588,8303,0
"203",11650,"Home Office",NA,39,6,2630,2,5,1,21,13000,1007588,11106,1
"204",11670,"Home Office",NA,66,1,4040,1,3,1,17,60100,1007588,8303,1
"205",11796,NA,NA,22,NA,NA,2,5,1,19,2000,1007588,8303,0
"206",11879,"Driving",94,64,7,3040,1,1,1,23,190400,1007588,8303,0
"207",11880,"Driving",145,61,7,3040,2,1,1,23,154400,1007588,8303,0
"208",11881,"Driving",204,27,1,4110,1,5,1,19,12000,1007588,8303,0
"209",11882,"Driving",145,23,1,3645,2,5,1,19,33600,1007588,8303,0
"210",11906,NA,NA,65,NA,NA,1,3,1,21,43400,1007588,8303,0
"211",11907,NA,NA,66,5,1530,1,3,1,21,23400,1007588,8303,0
"212",11908,"Driving",80,31,1,3600,1,3,1,9,35000,1007588,8303,0
"213",12106,"Driving",70,32,1,6440,1,5,1,18,91000,1007588,8303,0
"214",12107,"Driving",96,27,1,4130,1,5,1,19,26200,1007588,8303,0
"215",12108,"Public Transit",120,25,1,4720,1,5,1,19,46300,1007588,8303,0
"216",12131,NA,NA,34,NA,NA,1,5,1,22,0,1007588,11103,0
"217",12260,NA,NA,61,NA,NA,2,3,1,13,13200,1007588,8303,0
"218",12357,"Driving",109,58,1,10,1,1,1,21,514000,1007588,11106,0
"219",12358,"Driving",106,49,1,120,2,1,1,18,110000,1007588,11106,0
"220",12359,"Driving",73,21,1,5620,1,5,1,16,4500,1007588,11106,0
"221",12680,"Driving",86,28,1,2310,2,5,1,22,47000,1007588,8303,0
"222",12681,"Biking",98,26,1,2200,1,5,1,21,35000,1007588,8303,0
"223",12771,NA,NA,24,2,4600,2,5,1,19,6000,1007588,8303,0
"224",12961,NA,NA,67,2,2310,2,5,1,22,0,1007588,8303,0
"225",13560,"Home Office",NA,63,6,430,1,1,1,19,41500,1007588,8303,1
"226",13561,"Home Office",NA,59,6,2600,2,1,1,18,9400,1007588,8303,1
"227",13666,NA,NA,78,NA,NA,1,1,1,21,182600,1007588,11106,0
"228",13667,NA,NA,76,NA,NA,2,1,1,20,9500,1007588,11106,0
"229",13681,"Driving",70,36,1,6320,1,4,1,16,70000,1007588,11104,0
"230",13682,NA,NA,4,NA,NA,2,5,1,1,NA,1007588,11104,0
"231",14165,"Driving",88,60,7,430,1,1,1,19,192000,1007588,11106,0
"232",14166,NA,NA,59,1,430,2,1,1,19,0,1007588,11106,0
"233",14276,"Driving",81,48,1,1530,2,1,1,21,35000,1007588,11103,0
"234",14277,"Driving",217,52,3,7700,1,1,1,19,88000,1007588,11103,0
"235",14278,NA,NA,21,NA,NA,1,5,1,19,0,1007588,11103,0
"236",14279,NA,NA,16,NA,NA,1,5,1,13,0,1007588,11103,0
"237",14692,NA,NA,48,1,6050,2,3,1,13,4200,1007588,11103,0
"238",14693,NA,NA,9,NA,NA,2,5,1,7,NA,1007588,11103,0
"239",14694,NA,NA,6,NA,NA,2,5,1,3,NA,1007588,11103,0
"240",14695,NA,NA,47,1,6050,1,5,1,9,18800,1007588,11103,0
"241",15356,"Driving",97,50,1,430,1,5,2,18,76001,1007588,11106,0
"242",15357,"Driving",152,48,1,4510,2,5,1,20,58000,1007588,11106,0
"243",15435,"Home Office",NA,43,6,4600,2,1,1,20,36000,1007588,11103,1
"244",15436,"Driving",94,43,1,4700,1,1,1,21,41000,1007588,11103,0
"245",15437,NA,NA,13,NA,NA,2,5,1,11,NA,1007588,11103,0
"246",15438,NA,NA,8,NA,NA,1,5,1,6,NA,1007588,11103,0
"247",15893,"Driving",64,60,1,7000,1,1,1,15,40000,1007588,11103,0
"248",15894,"Driving",93,59,1,4610,2,1,1,9,28000,1007588,11103,0
"249",15895,NA,NA,35,1,5520,2,5,1,16,14000,1007588,11103,0
"250",15896,"Driving",85,23,1,4720,2,5,1,19,7000,1007588,11103,0
"251",15897,NA,NA,0,NA,NA,1,5,1,NA,NA,1007588,11103,0
"252",15898,NA,NA,38,9,9920,1,1,2,14,0,1007588,11103,0
"253",15966,"Driving",85,24,1,9620,2,5,1,19,35000,1007588,11106,0
"254",15967,"Home Office",NA,32,1,5120,1,4,2,19,56000,1007588,11106,1
"255",15968,NA,NA,6,NA,NA,2,5,1,3,NA,1007588,11106,0
"256",15969,NA,NA,4,NA,NA,1,5,1,1,NA,1007588,11106,0
"257",16048,"Home Office",NA,58,6,2000,2,3,1,22,31000,1007588,11104,1
"258",16210,"Driving",54,58,3,3800,2,5,1,20,42000,1007588,11103,0
"259",16733,NA,NA,25,4,2540,1,5,1,21,30000,1007588,8303,0
"260",16734,NA,NA,19,1,9610,1,5,1,19,2500,1007588,8303,0
"261",16735,NA,NA,19,NA,NA,1,5,1,19,0,1007588,8303,0
"262",16791,"Driving",68,50,1,4760,2,1,1,16,45000,1007588,8303,0
"263",16792,"Driving",97,41,7,9130,1,1,1,15,14000,1007588,8303,0
"264",16793,"Driving",157,20,1,5620,1,5,1,16,8000,1007588,8303,0
"265",16860,NA,NA,49,NA,NA,2,1,1,22,48000,1007588,11106,0
"266",16861,"Driving",95,67,6,4700,1,1,1,21,21100,1007588,11106,0
"267",16862,NA,NA,12,NA,NA,1,5,1,8,NA,1007588,11106,0
"268",16863,NA,NA,10,NA,NA,1,5,1,6,NA,1007588,11106,0
"269",17374,"Driving",152,59,2,7010,2,3,1,19,58000,1007588,11106,0
"270",17375,NA,NA,40,NA,NA,2,1,2,13,0,1007588,11106,0
"271",17376,"Driving",152,22,1,3320,2,5,1,19,10000,1007588,11106,0
"272",17377,NA,NA,21,NA,NA,2,5,1,14,0,1007588,11106,0
"273",17378,NA,NA,19,9,9920,2,5,1,16,0,1007588,11106,0
"274",17379,"Driving",66,60,1,4220,1,3,1,12,50000,1007588,11106,0
"275",17518,NA,NA,80,NA,NA,1,1,1,24,115000,1007588,8303,0
"276",17519,NA,NA,76,NA,NA,2,1,1,19,20000,1007588,8303,0
"277",17534,"Driving",91,42,3,2100,1,1,1,24,145000,1007588,11104,0
"278",17535,NA,NA,35,NA,NA,2,1,1,21,500,1007588,11104,0
"279",17536,NA,NA,7,NA,NA,2,5,1,4,NA,1007588,11104,0
"280",17537,NA,NA,5,NA,NA,2,5,1,2,NA,1007588,11104,0
"281",17538,NA,NA,5,NA,NA,1,5,1,2,NA,1007588,11104,0
"282",17544,NA,NA,57,NA,NA,2,2,1,21,49400,1007588,8303,0
"283",17591,NA,NA,28,1,6050,2,1,2,16,0,1007588,11103,0
"284",17592,"Driving",87,26,1,9640,1,1,2,14,22000,1007588,11103,0
"285",17593,NA,NA,7,NA,NA,2,5,1,4,NA,1007588,11103,0
"286",17594,NA,NA,5,NA,NA,1,5,1,1,NA,1007588,11103,0
"287",17599,"Driving",90,42,3,2310,2,3,1,22,99000,1007588,11104,0
"288",17763,NA,NA,69,NA,NA,2,3,1,21,9600,1007588,8303,0
"289",17805,NA,NA,72,NA,NA,2,1,1,18,33300,1007588,11104,0
"290",17806,NA,NA,72,NA,NA,1,1,1,19,34000,1007588,11104,0
"291",17835,NA,NA,20,1,4130,1,5,1,19,3500,1007588,8303,0
"292",17920,NA,NA,41,6,4920,2,1,1,19,21000,1007588,11104,0
"293",17921,"Driving",106,43,1,4700,1,1,1,19,115000,1007588,11104,0
"294",17922,"Driving",96,24,1,6240,1,5,1,19,28400,1007588,11104,0
"295",17923,NA,NA,16,NA,NA,1,5,1,14,0,1007588,11104,0
"296",18033,"Driving",68,47,1,4810,2,1,1,20,200100,1007588,11106,0
"297",18034,"Driving",91,45,7,220,1,1,1,19,160000,1007588,11106,0
"298",18035,NA,NA,4,NA,NA,2,5,1,1,NA,1007588,11106,0
